"","cons","edo","mun","loc","s7c7gp01","s7c7gp02","s7c7gp03a","s7c7gp03b","s7c7gp03c","s7c7gp03d","s7c7gp03e","s7c7gp04a","s7c7gp04b","s7c7gp04c","s7c7gp04d","s7c7gp04e","s7c7gp04_ca","s7c7gp04_cb","s7c7gp04_cc","s7c7gp04_cd","s7c7gp04_ce","s7c7gp05a","s7c7gp05b","s7c7gp05c","s7c7gp05d","s7c7gp05e","s7c7gp06a","s7c7gp06b","s7c7gp06c","s7c7gp06d","s7c7gp06e","s7c7gp07","s7c7gp08","s7c7gp09","s7c7gp09_c","s7c7gp10","s7c7gp11","s7c7gp12","s7c7gp12_c","s7c7gp13","s7c7hp01","s7c7hp02","s7c7hp03","s7c7hp06","s7c7hp07","s7c7hp08","s7c7hp09_lc","s7c7hp10_mc","s7c7hp11_edo"
"1",1208,4,6,19,5,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,5,2,NA,1,120,1,NaN,NaN,NaN
"2",1563,10,4,54,1,1,1,4,NA,NA,NA,3,3,NA,NA,NA,1,1,NaN,NaN,NaN,7,7,NA,NA,NA,12,12,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,1,2,NA,1,0,NaN,NaN,NaN,NaN
"3",329,21,113,1,2,1,1,NA,NA,NA,NA,20,NA,NA,NA,NA,2,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,2,NaN,NA,2,NaN,NaN,NaN,NaN,NaN
"4",2198,20,260,2,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,2,NaN,NA,2,NaN,NaN,NaN,NaN,NaN
"5",244,15,74,66,5,1,2,NA,NA,NA,NA,30,NA,NA,NA,NA,2,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,5,2,NA,2,NaN,NaN,NaN,NaN,NaN
"6",246,15,74,66,5,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,5,2,NA,2,NaN,NaN,NaN,NaN,NaN
"7",340,21,113,1,1,1,1,5,NA,NA,NA,1,1,NA,NA,NA,1,1,NaN,NaN,NaN,7,7,NA,NA,NA,3,3,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,1,2,NA,2,NaN,NaN,NaN,NaN,NaN
"8",535,12,1,82,5,1,3,2,NA,NA,NA,30,30,NA,NA,NA,2,2,NaN,NaN,NaN,7,7,NA,NA,NA,12,12,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,5,2,NA,2,NaN,NaN,NaN,NaN,NaN
"9",1391,27,8,191,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,1,2,NA,2,NaN,NaN,NaN,NaN,NaN
"10",2270,20,453,1,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,2,NaN,NA,2,NaN,NaN,NaN,NaN,NaN
