"cons","edo","NOM_ENT","mun","NOM_MUN","grupo","NOMBRE_GRUPO","monto_venta","animales_venta"
"0001","15","México","051","Lerma","1","reses",0,0
"0001","15","México","051","Lerma","2","equinos",0,0
"0001","15","México","051","Lerma","3","cerdos",0,0
"0001","15","México","051","Lerma","4","aves",0,0
"0001","15","México","051","Lerma","5","cyb",0,0
"0002","15","México","051","Lerma","1","reses",0,0
"0002","15","México","051","Lerma","2","equinos",0,0
"0002","15","México","051","Lerma","3","cerdos",0,0
"0002","15","México","051","Lerma","4","aves",0,0
"0002","15","México","051","Lerma","5","cyb",0,0
"0003","15","México","051","Lerma","1","reses",0,0
"0003","15","México","051","Lerma","2","equinos",0,0
"0003","15","México","051","Lerma","3","cerdos",0,0
"0003","15","México","051","Lerma","4","aves",0,0
"0003","15","México","051","Lerma","5","cyb",0,0
"0004","15","México","051","Lerma","1","reses",0,0
"0004","15","México","051","Lerma","2","equinos",0,0
"0004","15","México","051","Lerma","3","cerdos",0,0
"0004","15","México","051","Lerma","4","aves",0,0
"0004","15","México","051","Lerma","5","cyb",0,0
"0005","15","México","051","Lerma","1","reses",0,0
"0005","15","México","051","Lerma","2","equinos",0,0
"0005","15","México","051","Lerma","3","cerdos",0,0
"0005","15","México","051","Lerma","4","aves",0,0
"0005","15","México","051","Lerma","5","cyb",0,0
"0006","15","México","051","Lerma","1","reses",0,0
"0006","15","México","051","Lerma","2","equinos",0,0
"0006","15","México","051","Lerma","3","cerdos",0,0
"0006","15","México","051","Lerma","4","aves",0,0
"0006","15","México","051","Lerma","5","cyb",0,0
"0007","15","México","051","Lerma","1","reses",0,0
"0007","15","México","051","Lerma","2","equinos",0,0
"0007","15","México","051","Lerma","3","cerdos",0,0
"0007","15","México","051","Lerma","4","aves",0,0
"0007","15","México","051","Lerma","5","cyb",0,0
"0008","15","México","051","Lerma","1","reses",0,0
"0008","15","México","051","Lerma","2","equinos",0,0
"0008","15","México","051","Lerma","3","cerdos",0,0
"0008","15","México","051","Lerma","4","aves",0,0
"0008","15","México","051","Lerma","5","cyb",0,0
