"cons","cve_edo","NOM_ENT","cve_mun","NOM_MUN","cve_loc","cve_animal","pago_anual"
"0209","15","México","124","San José del Rincón","0032","1",48000
"0563","12","Guerrero","001","Acapulco de Juárez","0297","1",0
"1052","08","Chihuahua","007","Balleza","0001","1",3600
"1175","03","Baja California Sur","008","Los Cabos","1030","1",24000
"1177","03","Baja California Sur","008","Los Cabos","1030","1",24000
"1199","03","Baja California Sur","008","Los Cabos","0198","1",7200
"1222","04","Campeche","006","Hopelchén","0057","1",3600
"1253","27","Tabasco","013","Nacajuca","0015","1",7200
"1255","27","Tabasco","013","Nacajuca","0015","1",20000
"1545","05","Coahuila de Zaragoza","030","Saltillo","0073","1",9600
"1554","05","Coahuila de Zaragoza","030","Saltillo","0073","1",100
"1571","10","Durango","004","Cuencamé","0054","1",33600
"1869","11","Guanajuato","030","San Felipe","0109","1",57600
"1943","32","Zacatecas","038","Pinos","0113","1",6000
"2075","18","Nayarit","015","Santiago Ixcuintla","0073","1",4800
"2103","18","Nayarit","018","Tuxpan","0013","1",4800
"2389","20","Oaxaca","406","Santa María Chilchotla","0061","1",7200
"2547","28","Tamaulipas","034","San Carlos","0001","1",4800
"1754","11","Guanajuato","037","Silao de la Victoria","0003","2",0
"2075","18","Nayarit","015","Santiago Ixcuintla","0073","2",4800
"2200","20","Oaxaca","260","San Miguel Aloápam","0002","2",100
"2389","20","Oaxaca","406","Santa María Chilchotla","0061","2",7200
"0304","15","México","113","Villa Guerrero","0021","5",4800
"1541","05","Coahuila de Zaragoza","030","Saltillo","0073","5",14400
"2233","20","Oaxaca","453","Santiago Astata","0001","5",7200
