"cons","cve_edo","NOM_ENT","cve_mun","NOM_MUN","cve_loc","grupo_animal","horas_anuales"
"0001","15","México","051","Lerma","0060","aves",1008
"0009","15","México","051","Lerma","0060","aves",2352
"0014","15","México","051","Lerma","0060","aves",672
"0022","15","México","051","Lerma","0013","aves",616
"0036","15","México","051","Lerma","0013","aves",600
"0042","15","México","067","Otzolotepec","0018","aves",28
"0043","15","México","067","Otzolotepec","0018","aves",16.8
"0044","15","México","067","Otzolotepec","0018","aves",1344
"0047","15","México","067","Otzolotepec","0018","aves",336
"0048","15","México","067","Otzolotepec","0018","aves",840
"0056","15","México","067","Otzolotepec","0018","aves",84
"0058","15","México","067","Otzolotepec","0018","aves",588
"0059","15","México","067","Otzolotepec","0018","aves",2016
"0062","15","México","067","Otzolotepec","0018","aves",168
"0063","15","México","067","Otzolotepec","0018","aves",168
"0064","15","México","067","Otzolotepec","0018","aves",112
"0067","15","México","067","Otzolotepec","0018","aves",28
"0071","15","México","067","Otzolotepec","0018","aves",4.66666666666667
"0075","15","México","067","Otzolotepec","0018","aves",168
"0081","15","México","124","San José del Rincón","0083","aves",28
"0082","15","México","124","San José del Rincón","0083","aves",504
"0085","15","México","124","San José del Rincón","0083","aves",28
"0087","15","México","124","San José del Rincón","0083","aves",336
"0088","15","México","124","San José del Rincón","0083","aves",84
"0089","15","México","124","San José del Rincón","0083","aves",84
"0090","15","México","124","San José del Rincón","0083","aves",56
"0093","15","México","124","San José del Rincón","0083","aves",67.2
"0094","15","México","124","San José del Rincón","0083","aves",336
"0095","15","México","124","San José del Rincón","0083","aves",1344
"0096","15","México","124","San José del Rincón","0083","aves",14
"0098","15","México","124","San José del Rincón","0083","aves",84
"0100","15","México","124","San José del Rincón","0083","aves",1344
"0104","15","México","124","San José del Rincón","0083","aves",9.33333333333333
"0105","15","México","124","San José del Rincón","0083","aves",241.333333333333
"0107","15","México","124","San José del Rincón","0083","aves",336
"0109","15","México","124","San José del Rincón","0083","aves",392
"0110","15","México","124","San José del Rincón","0083","aves",672
"0112","15","México","124","San José del Rincón","0083","aves",168
"0114","15","México","124","San José del Rincón","0083","aves",112
"0115","15","México","124","San José del Rincón","0083","aves",1008
"0116","15","México","124","San José del Rincón","0083","aves",336
"0117","15","México","124","San José del Rincón","0083","aves",1344
"0118","15","México","124","San José del Rincón","0083","aves",672
"0121","15","México","124","San José del Rincón","0048","aves",14
"0122","15","México","124","San José del Rincón","0048","aves",336
"0123","15","México","124","San José del Rincón","0048","aves",14
"0128","15","México","124","San José del Rincón","0048","aves",168
"0131","15","México","124","San José del Rincón","0048","aves",56
"0133","15","México","124","San José del Rincón","0048","aves",4.66666666666667
"0135","15","México","124","San José del Rincón","0048","aves",28
"0136","15","México","124","San José del Rincón","0048","aves",28
"0140","15","México","124","San José del Rincón","0048","aves",14
"0145","15","México","124","San José del Rincón","0121","aves",28
"0146","15","México","124","San José del Rincón","0121","aves",336
"0148","15","México","124","San José del Rincón","0121","aves",336
"0149","15","México","124","San José del Rincón","0121","aves",56
"0150","15","México","124","San José del Rincón","0121","aves",112
"0151","15","México","124","San José del Rincón","0121","aves",168
"0152","15","México","124","San José del Rincón","0121","aves",168
"0153","15","México","124","San José del Rincón","0121","aves",84
"0155","15","México","124","San José del Rincón","0121","aves",672
"0156","15","México","124","San José del Rincón","0121","aves",84
"0157","15","México","124","San José del Rincón","0121","aves",56
"0159","15","México","124","San José del Rincón","0121","aves",336
"0162","15","México","124","San José del Rincón","0038","aves",56
"0163","15","México","124","San José del Rincón","0038","aves",56
"0166","15","México","124","San José del Rincón","0038","aves",336
"0169","15","México","124","San José del Rincón","0038","aves",84
"0173","15","México","124","San José del Rincón","0038","aves",14
"0174","15","México","124","San José del Rincón","0038","aves",14
"0175","15","México","124","San José del Rincón","0038","aves",9.33333333333333
"0177","15","México","124","San José del Rincón","0038","aves",14
"0179","15","México","124","San José del Rincón","0038","aves",56
"0182","15","México","124","San José del Rincón","0038","aves",112
"0185","15","México","124","San José del Rincón","0038","aves",93.3333333333333
"0186","15","México","124","San José del Rincón","0038","aves",168
"0189","15","México","124","San José del Rincón","0038","aves",4.66666666666667
"0191","15","México","124","San José del Rincón","0038","aves",280
"0196","15","México","124","San José del Rincón","0038","aves",32.6666666666667
